rank,traditional,simplified
286,甚至,甚至
287,用,用
288,真,真
289,六,六
290,呀,呀
291,情況,情况
292,還是,还是
293,錢,钱
294,方法,方法
295,點,点
296,任何,任何
297,經驗,经验
298,藝術,艺术
299,你們,你们
300,十,十
301,主要,主要
302,媽媽,妈妈
303,增加,增加
304,提出,提出
305,為什麼,为什么
306,以,以
307,您,您
308,計畫,计画
309,作,作
310,利用,利用
311,東西,东西
312,在,在
313,條,条
314,設計,设计
315,找,找
316,之間,之间
317,成長,成长
318,能夠,能够
319,決定,决定
320,學習,学习
321,誰,谁
322,見,见
323,半,半
324,時代,时代
325,完成,完成
326,帶,带
327,相當,相当
328,同學,同学
329,件,件
330,能力,能力
331,別人,别人
332,生命,生命
333,下,下
334,來,来
335,場,场
336,會議,会议
337,容易,容易
338,開發,开发
339,民眾,民众
340,事情,事情
341,書,书
342,事實,事实
343,有關,有关
344,自,自
345,組織,组织
346,言,言
347,多,多
348,愛,爱
349,建立,建立
350,相關,相关
351,均,均
352,產生,产生
353,多,多
354,業者,业者
355,解決,解决
356,完全,完全
357,的話,的话
358,接受,接受
359,知,知
360,約,约
361,一般,一般
362,推動,推动
363,過程,过程
364,管理,管理
365,功能,功能
366,手,手
367,打,打
368,水,水
369,要求,要求
370,小朋友,小朋友
371,教授,教授
372,難,难
373,我國,我国
374,告訴,告诉
375,內容,内容
376,結果,结果
377,調查,调查
378,家庭,家庭
379,成立,成立
380,選擇,选择
381,經營,经营
382,然而,然而
383,父母,父母
384,寫,写
385,人類,人类
386,至於,至于
387,買,买
388,尤其,尤其
389,配合,配合
390,進入,进入
391,例如,例如
392,得,得
393,討論,讨论
394,依,依
395,作品,作品
396,情形,情形
397,資源,资源
398,原因,原因
399,啦,啦
400,妳,妳
401,運動,运动
402,觀念,观念
403,給,给
404,軟體,软体
405,品質,品质
406,經過,经过
407,如此,如此
408,嗯,嗯
409,精神,精神
410,影響,影响
411,之,之
412,過,过
413,好像,好像
414,成,成
415,參與,参与
416,以後,以后
417,於是,于是
418,部分,部分
419,另外,另外
420,公園,公园
421,透過,透过
422,訓練,训练
423,努力,努力
424,研究,研究
425,具有,具有
426,共同,共同
427,所謂,所谓
428,下,下
429,行為,行为
430,合作,合作
431,經,经
432,合作,合作
433,目標,目标
434,起來,起来
435,考慮,考虑
436,長,长
437,意見,意见
438,辦法,办法
439,音樂,音乐
440,連,连
441,受,受
442,廠商,厂商
443,隻,只
444,受到,受到
445,一切,一切
446,或是,或是
447,中央,中央
448,某,某
449,女性,女性
450,教學,教学
451,極,极
452,獲得,获得
453,真的,真的
454,路,路
455,來,来
456,快,快
457,國小,国小
458,部份,部份
459,工程,工程
460,女人,女人
461,舉行,举行
462,句,句
463,只是,只是
464,段,段
465,根據,根据
466,現象,现象
467,人民,人民
468,土地,土地
469,面對,面对
470,注意,注意
471,這裡,这里
472,新聞,新闻
473,繼續,继续
474,相信,相信
475,政策,政策
476,變成,变成
477,計劃,计划
478,強調,强调
479,學,学
480,人士,人士
481,前,前
482,前,前
483,存在,存在
484,制度,制度
485,意義,意义
486,代表,代表
487,課程,课程
488,該,该
489,沒,没
490,至,至
491,需求,需求
492,人生,人生
493,那些,那些
494,成功,成功
495,爸爸,爸爸
496,產業,产业
497,負責,负责
498,民間,民间
499,雖,虽
500,影響,影响
501,直接,直接
502,幾乎,几乎
503,分,分
504,實際,实际
505,團體,团体
506,價值,价值
507,使得,使得
508,類,类
509,形成,形成
510,科技,科技
511,這麼,这么
512,當,当
513,七,七
514,不但,不但
515,往,往
516,本身,本身
517,標準,标准
518,似乎,似乎
519,應用,应用
520,或者,或者
521,動物,动物
522,電話,电话
523,態度,态度
524,建設,建设
525,事業,事业
526,老,老
527,那麼,那么
528,常常,常常
529,字,字
530,坐,坐
531,舉辦,举办
532,自我,自我
533,有的,有的
534,具,具
535,目的,目的
536,塊,块
537,條件,条件
538,即使,即使
539,好,好
540,十分,十分
541,多少,多少
542,放,放
543,又,又
544,電影,电影
545,科學,科学
546,執行,执行
547,邊,边
548,委員會,委员会
549,溝通,沟通
550,開,开
551,一起,一起
552,張,张
553,針對,针对
554,員工,员工
555,引起,引起
556,自然,自然
557,那麼,那么
558,安全,安全
559,總統,总统
560,此外,此外
561,擁有,拥有
562,並且,并且
563,事件,事件
564,設計,设计
565,研究所,研究所
566,語言,语言
567,嚴重,严重
568,故事,故事
569,學術,学术
570,片,片
571,設備,设备
572,之外,之外
573,車,车
574,基本,基本
575,實在,实在
576,久,久
577,套,套
578,達到,达到
579,改善,改善
580,死,死
581,結構,结构
582,住,住
583,皆,皆
584,改變,改变
585,拿,拿
586,小組,小组
587,支持,支持
588,座,座
589,醫院,医院
590,既,既
591,僅,仅
592,值得,值得
593,學者,学者
594,八,八
595,交通,交通
596,階段,阶段
597,就是,就是
598,申請,申请
599,主管,主管
600,申請,申请
601,同,同
602,感覺,感觉
603,電視,电视
604,母親,母亲
605,嘛,嘛
606,香港,香港
607,記者,记者
608,壓力,压力
609,快樂,快乐
610,喝,喝
611,敢,敢
612,院,院
613,也許,也许
614,人們,人们
615,談,谈
616,生產,生产
617,怕,怕
618,就,就
619,身體,身体
620,規定,规定
621,程度,程度
622,積極,积极
623,知識,知识
624,作為,作为
625,機構,机构
626,而是,而是
627,鼓勵,鼓励
628,角色,角色
629,狀況,状况
630,專家,专家
631,據,据
632,清楚,清楚
633,不僅,不仅
634,比賽,比赛
635,玩,玩
636,效果,效果
637,越,越
638,保護,保护
639,共,共
640,開放,开放
641,附近,附近
642,上,上
643,父親,父亲
644,專業,专业
645,經費,经费
646,曾經,曾经
647,工作,工作
648,願意,愿意
649,分別,分别
650,重視,重视
651,不少,不少
652,歡迎,欢迎
653,小孩,小孩
654,小時,小时
655,中國人,中国人
656,顯示,显示
657,中共,中共
658,出,出
659,男人,男人
660,避免,避免
661,屬於,属于
662,實施,实施
663,聲音,声音
664,主義,主义
665,行動,行动
666,不可,不可
667,只有,只有
668,校園,校园
669,興趣,兴趣
670,山,山
671,表現,表现
672,得,得
673,回來,回来
674,主任,主任
675,裡面,里面
676,經常,经常
677,不再,不再
678,電子,电子
679,受,受
680,思想,思想
681,頭,头
682,終於,终于
683,謝謝,谢谢
684,協助,协助
685,除,除
686,當地,当地
687,正式,正式
688,真正,真正
689,低,低
690,性,性
691,份,份
692,因素,因素
693,推出,推出
694,上,上
695,價格,价格
696,去,去
697,認識,认识
698,方向,方向
699,責任,责任
700,說明,说明
701,工業,工业
702,大量,大量
703,做,做
704,逐漸,逐渐
705,心理,心理
706,一點,一点
707,供,供
708,須,须
709,簡單,简单
710,運用,运用
711,觀察,观察
712,往往,往往
713,規劃,规划
714,減少,减少
715,重新,重新
716,業務,业务
717,報導,报导
718,仍然,仍然
719,感到,感到
720,開放,开放
721,領域,领域
722,有效,有效
723,女,女
724,要,要
725,從事,从事
726,發揮,发挥
727,人才,人才
728,反而,反而
729,行政,行政
730,銀行,银行
731,公共,公共
732,媒體,媒体
733,提高,提高
734,代,代
735,自然,自然
736,社區,社区
737,力量,力量
738,啊,啊
739,教育部,教育部
740,愈,愈
741,超過,超过
742,維持,维持
743,家長,家长
744,結合,结合
745,校長,校长
746,通常,通常
747,缺乏,缺乏
748,委員,委员
749,特色,特色
750,結果,结果
751,有時,有时
752,教師,教师
753,之前,之前
754,遠,远
755,控制,控制
756,本,本
757,否則,否则
758,法,法
759,少,少
760,原則,原则
761,要,要
762,臉,脸
763,通過,通过
764,建議,建议
765,工具,工具
766,作業,作业
767,達,达
768,節目,节目
769,智慧,智慧
770,來自,来自
771,而,而
772,變化,变化
773,同樣,同样
774,形式,形式
775,站,站
776,以為,以为
777,健康,健康
778,擔任,担任
779,人口,人口
780,規劃,规划
781,剛,刚
782,特殊,特殊
783,原來,原来
784,道,道
785,分,分
786,傳統,传统
787,總是,总是
788,前往,前往
789,投資,投资
790,加強,加强
791,不斷,不断
792,對象,对象
793,追求,追求
794,加上,加上
795,比,比
796,思考,思考
797,製作,制作
798,台北市,台北市
799,取得,取得
800,出來,出来
801,加入,加入
802,台,台
803,安排,安排
804,兒童,儿童
805,國中,国中
806,範圍,范围
807,老人,老人
808,雙方,双方
809,牠,它
810,北京,北京
811,年輕,年轻
812,結束,结束
813,教,教
814,程式,程式
815,婦女,妇女
816,找到,找到
817,彼此,彼此
818,全球,全球
819,成本,成本
820,回到,回到
821,部,部
822,而已,而已
823,之下,之下
824,等,等
825,變,变
826,期間,期间
827,非,非
828,小姐,小姐
829,整體,整体
830,採用,采用
831,根本,根本
832,叫,叫
833,歐洲,欧洲
834,正在,正在
835,加以,加以
836,充滿,充满
837,系列,系列
838,隨著,随着
839,早,早
840,等等,等等
841,頗,颇
842,不足,不足
843,總,总
844,分析,分析
845,深,深
846,報告,报告
847,不錯,不错
848,在於,在于
849,旁,旁
850,笑,笑
851,故,故
852,消費者,消费者
853,意識,意识
854,公尺,公尺
855,民族,民族
856,為主,为主
857,大眾,大众
858,到底,到底
859,願,愿
860,度,度
861,大概,大概
862,對方,对方
863,官員,官员
864,發表,发表
865,進一步,进一步
866,自由,自由
867,正確,正确
868,豐富,丰富
869,國民黨,国民党
870,戰爭,战争
871,怎麼樣,怎么样
872,只好,只好
873,明顯,明显
874,改革,改革
875,表達,表达
876,肯定,肯定
877,強,强
878,高興,高兴
879,哪,哪
880,樹,树
881,適合,适合
882,茶,茶
883,別,别
884,國外,国外
885,關心,关心
886,蘇聯,苏联
887,成績,成绩
888,人物,人物
889,聽到,听到
890,創造,创造
891,不必,不必
892,不論,不论
893,尚,尚
894,居民,居民
895,不管,不管
896,美麗,美丽
897,伊拉克,伊拉克
898,帶來,带来
899,有,有
900,般,般
901,永遠,永远
902,感情,感情
903,兒子,儿子
904,這樣子,这样子
905,起,起
906,全部,全部
